Semana,Fechas (sección 002),Tópico,Asignación de Lectura website,Libro,Tareas
Semana 1,"August 22, 2022",Introduccion al Laboratorio,,,
,,,,,
Semana 2,"August 19, 2022",,,,
,,,,,
Semana 3,"August 26, 2022",Habit y Diversidad de forma de hoja,,,"Proyecto de análisis de diversidad de forma de hoja, margen y venación"
,,,,,
Semana 4,"September 2, 2022",Ejercicio cuantitativo de forma de hoja ,,,Proyecto de análisis de diversidad de forma de hoja en una especie. Hipotesis a comprobar: existe variación sub-individual por cause del efecto de sombra?
,,,,,
Semana 5,"September 9, 2022",Analisis de datos para Variación intra y sub-individual,,,
,,,,,
Semana 6,"September 16, 2022","Estambres y Pistilos, diversidad en los angiosperma",,,
,,,,,
Semana 7,"September 23, 2022",Ejercicio cuantitativo de cantidad de estambres y pistilo,,,Proyecto de análisis de diversidad de estructura reproductiva
,,,,,
Semana 8,"September 30, 2022",Diversidad de Frutos ,,,
,,,,,
Semana 9,"October 2, 2022",Ejercicio cuantitativo de cantidad de semillas por frutos,,,Proyecto de análisis de diversidad de produccion de semillas
,,,,,
Semana 10,"October 9, 2022",Identificación de familia de Plantas: Colección,,,
,,,,,
Semana 11,"October 16, 2022",Identificación de familia de Plantas: Colección,,,
,,,,,
Semana 12,"October 23, 2022",Ecología en Plantas: Competencia,,,
,,Ejercicio para evaluar la competencia,,,
Semana 13,"October 30, 2022",Ecología en Plantas: Reproducción,,,
,,Ejercicio para evaluar la reproducción,,,
Semana 14,"November 2, 2022",,,,
,,,,,
Semana 15,"November 9, 2022",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,